,DIVISION,TYPEHUQ,KOWNRENT,YEARMADERANGE,SQFTEST,KWH,BTUNG,TOTALBTUSPH,KWHCOL,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh,YRCONC,Source
0,8,2,1,4,2100,12521.48,101924.43,73942.18,3275.9,195.09629999999999,153.1094881067965,64.18102239765696,111.07493394175081,16.79119491246118,1,RECS
1,7,5,2,5,590,5243.05,10145.32,6293.72,1359.81,54.81277,54.244641854808656,95.65380476118978,33.651041794092876,24.80827004364129,2,RECS
2,8,5,2,3,900,2387.64,22603.08,16993.72,1583.68,83.6127,79.22608956151399,28.5559490364502,59.564713424156864,18.940663320285076,1,RECS
3,5,2,1,5,2100,9275.07,55118.66,42812.12,1472.33,195.09629999999999,82.79849902258528,47.540983606557376,64.31178254287757,7.54668335586067,2,RECS
4,2,5,2,3,800,5869.7,39099.51,8818.47,1872.74,74.3224,154.17871994459276,78.97619021990678,34.77333645536205,25.197517841189196,1,RECS
5,7,2,2,6,3010,14351.64,36432.85,14561.39,7310.65,279.63803,38.18297454874074,51.32220392197728,15.260875384832314,26.14326098635439,2,RECS
6,7,2,2,2,1200,14480.35,82468.08,80477.74,4838.14,111.4836,216.79424304274355,129.88771442615777,211.5619852564862,43.39777330477308,0,RECS
7,6,5,2,7,900,12147.3,0.0,823.74,0.0,83.6127,0.0,145.28056144580904,2.8872923077475074,0.0,3,RECS
8,5,5,2,7,750,3969.96,966.5,498.15,1222.45,69.67725,4.065216717077669,56.97641626212286,2.0952795733184075,17.544463939090594,3,RECS
9,8,5,2,5,760,3632.4,0.0,1071.29,1271.52,70.60628,0.0,51.44584872620396,4.446687059423043,18.008596402472982,2,RECS
10,9,2,1,4,1630,7634.39,32447.7,22218.75,2365.06,151.43189,62.79707587813901,50.41467817643959,43.0006604371774,15.617978485245082,1,RECS
11,7,2,1,8,3080,9657.64,40915.24,31031.24,2661.0,286.14124,41.90612405971261,33.75130407626667,31.782753643061035,9.299603230907925,3,RECS
12,7,2,1,4,2000,9639.93,51087.93,39120.66,3544.29,185.806,80.58077098172288,51.881693809672456,61.70484778134183,19.075218238377662,1,RECS
13,4,2,1,2,1450,8967.17,0.0,15085.35,489.74,134.70935,0.0,66.56679733069754,32.81938937312072,3.635530867011087,0,RECS
14,1,2,1,2,1100,3524.72,0.0,71001.3,296.09,102.1933,0.0,34.49071514473062,203.61826061297563,2.8973523704587287,0,RECS
15,9,3,2,3,1750,9922.22,6083.07,7061.25,1461.86,162.58025,10.965485709180543,61.0296761137961,12.728776089039105,8.991621060983729,1,RECS
