DOEID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,BA_climate,IECC_climate_code,UATYP10,,,,,TYPEHUQ,CELLAR,CRAWL,CONCRETE,BASEOTH,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,SIZEOFGARAGE,KOWNRENT,YEARMADERANGE
100088,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,R,,,,,2,1,1,0,0,1,0,-2,1,1,2,1,2
100089,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,R,,,,,2,1,0,0,0,0,1,0,2,0,-2,2,1
100090,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,2,0,1,0,0,-2,1,0,1,0,-2,1,1
100091,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100092,WEST,Mountain North,16,ID,Idaho,Cold,5B,R,,,,,2,1,0,0,0,1,0,-2,2,1,2,1,4
100093,NORTHEAST,New England,23,ME,Maine,Cold,6A,U,,,,,2,1,1,0,0,0,0,-2,2,0,-2,1,1
100094,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,C,,,,,2,0,1,0,1,-2,1,1,1,0,-2,2,7
100095,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,3A,C,,,,,2,0,1,0,0,-2,1,0,1,1,2,1,5
100096,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,R,,,,,2,1,0,0,0,1,0,-2,1,1,2,1,4
100097,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,1,0,1,-2,0,-2,1,0,-2,1,7
100098,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,U,,,,,2,1,1,0,0,0,1,0,1,0,-2,1,1
100099,WEST,Mountain South,32,NV,Nevada,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,6
100100,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,C,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100101,WEST,Pacific,53,WA,Washington,Cold,5B,U,,,,,2,0,1,1,0,-2,1,0,2,1,2,1,6
100102,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,2,0,1,1,1,-2,1,1,2,1,2,1,6
100103,NORTHEAST,Middle Atlantic,36,NY,New York,Cold,6A,R,,,,,2,1,1,0,1,0,1,0,2,1,3,1,1
100104,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,3A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,6
100105,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,R,,,,,2,1,0,0,0,0,0,-2,1,1,1,1,2
100106,NORTHEAST,New England,50,VT,Vermont,Cold,6A,R,,,,,2,1,0,0,0,1,0,-2,2,0,-2,1,6
100107,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,1,3,1,8
100108,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,2,0,1,0,0,-2,0,-2,2,1,2,1,7
100109,SOUTH,South Atlantic,13,GA,Georgia,Hot-Humid,3A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,6
100110,WEST,Pacific,06,CA,California,Marine,3C,C,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4
100111,SOUTH,South Atlantic,45,SC,South Carolina,Mixed-Humid,3A,U,,,,,3,0,0,1,0,-2,0,-2,1,0,-2,2,2
100112,SOUTH,West South Central,48,TX,Texas,Hot-Humid,3A,U,,,,,2,0,1,0,0,-2,1,0,1,0,-2,1,1
100113,SOUTH,South Atlantic,37,NC,North Carolina,Mixed-Humid,3A,R,,,,,2,0,1,0,0,-2,0,-2,1,1,2,2,1
100114,WEST,Pacific,53,WA,Washington,Cold,5B,C,,,,,2,0,1,0,0,-2,0,-2,1,0,-2,1,3
100115,WEST,Pacific,06,CA,California,Marine,3C,U,,,,,2,0,1,0,1,-2,0,-2,1,1,2,1,2
100116,MIDWEST,East North Central,26,MI,Michigan,Cold,5A,R,,,,,2,0,1,1,1,-2,1,0,1,1,1,1,4
100117,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
100118,WEST,Mountain South,35,NM,New Mexico,Hot-Dry,3B,C,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,2
100119,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,2,0,0,1,0,-2,1,0,5,1,2,1,3
100120,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,R,,,,,2,0,1,0,0,-2,1,0,1,0,-2,1,4
100121,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,2,0,-2,1,1
100122,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,2,1,0,1,0,1,0,-2,2,1,3,1,7
100123,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1
100124,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,1,0,0,-2,1,0,2,0,-2,1,1
100125,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,2,1,1,1,0,0,1,0,1,1,1,1,2
100126,WEST,Mountain North,08,CO,Colorado,Cold,5B,U,,,,,2,1,1,0,0,1,0,-2,2,1,2,1,5
100127,NORTHEAST,New England,23,ME,Maine,Cold,6A,R,,,,,2,1,0,0,0,0,0,-2,2,0,-2,1,5
100128,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,U,,,,,2,1,0,1,0,1,0,-2,2,1,2,1,2
100129,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,3,1,0,0,1,1,1,0,2,0,-2,1,6
100130,SOUTH,West South Central,48,TX,Texas,Mixed-Humid,3A,U,,,,,2,0,0,0,1,-2,1,1,2,1,3,1,4
100131,MIDWEST,East North Central,55,WI,Wisconsin,Cold,6A,U,,,,,2,1,0,0,0,0,1,1,2,0,-2,1,2
100132,SOUTH,South Atlantic,51,VA,Virginia,Mixed-Humid,4A,U,,,,,2,0,0,1,0,-2,0,-2,2,0,-2,1,2
100133,WEST,Pacific,06,CA,California,Marine,3C,U,,,,,2,0,1,1,0,-2,1,0,2,1,3,1,5
100134,WEST,Pacific,53,WA,Washington,Marine,4C,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8
100135,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,1,1,1,1,5
100136,MIDWEST,East North Central,18,IN,Indiana,Mixed-Humid,4A,C,,,,,2,0,1,0,0,-2,0,-2,1,1,3,2,7
100137,WEST,Mountain North,49,UT,Utah,Cold,5B,U,,,,,2,1,0,0,0,0,1,0,1,1,3,1,8
100138,SOUTH,South Atlantic,13,GA,Georgia,Mixed-Humid,3A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,1,5
100139,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,2,1,0,0,0,1,1,0,2,1,2,2,6
100140,SOUTH,South Atlantic,12,FL,Florida,Hot-Humid,2A,U,,,,,2,0,1,0,0,-2,0,-2,1,0,-2,1,1
100141,WEST,Mountain North,16,ID,Idaho,Cold,5B,R,,,,,2,0,1,0,0,-2,1,0,2,0,-2,1,7
100142,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
100143,SOUTH,South Atlantic,13,GA,Georgia,Hot-Humid,2A,R,,,,,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,9
100144,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,R,,,,,2,0,0,0,1,-2,0,-2,3,1,3,1,9
100145,SOUTH,South Atlantic,10,DE,Delaware,Mixed-Humid,4A,C,,,,,3,0,0,1,0,-2,1,0,2,1,1,1,8
100146,MIDWEST,East North Central,18,IN,Indiana,Cold,5A,C,,,,,2,0,1,0,0,-2,1,0,2,1,2,1,7
100147,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,1,0,0,0,0,0,-2,1,0,-2,1,1
100148,SOUTH,South Atlantic,13,GA,Georgia,Mixed-Humid,3A,U,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
100149,NORTHEAST,Middle Atlantic,42,PA,Pennsylvania,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2
100150,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,6
100151,MIDWEST,West North Central,38,ND,North Dakota,Cold,6A,U,,,,,2,1,0,0,0,1,1,0,2,1,3,1,4
100152,MIDWEST,East North Central,39,OH,Ohio,Cold,5A,U,,,,,2,1,0,0,0,0,0,-2,2,1,3,1,9
100153,WEST,Mountain North,49,UT,Utah,Cold,5B,U,,,,,3,1,0,0,0,0,0,-2,1,0,-2,1,2
100154,SOUTH,West South Central,48,TX,Texas,Hot-Humid,3A,U,,,,,2,0,1,0,0,-2,1,0,1,1,1,1,1
100155,MIDWEST,West North Central,31,NE,Nebraska,Cold,5A,U,,,,,2,1,0,0,0,1,0,-2,1,1,1,1,3
100156,NORTHEAST,New England,25,MA,Massachusetts,Cold,5A,U,,,,,2,1,0,0,0,1,1,0,1,0,-2,1,2
100157,SOUTH,South Atlantic,11,DC,District of Columbia,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4
100158,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,7
100159,SOUTH,South Atlantic,13,GA,Georgia,Hot-Humid,2A,C,,,,,2,0,0,0,1,-2,0,-2,1,0,-2,1,1
100160,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,R,,,,,2,1,0,0,0,1,1,0,1,0,-2,1,3
100161,MIDWEST,West North Central,19,IA,Iowa,Cold,6A,R,,,,,3,0,0,1,0,-2,1,0,1,1,2,1,6
100162,WEST,Pacific,15,HI,Hawaii,Hot-Humid,1A,U,,,,,2,0,0,1,0,-2,1,0,2,1,2,1,4
100163,SOUTH,South Atlantic,24,MD,Maryland,Mixed-Humid,4A,U,,,,,3,1,0,0,0,1,0,-2,2,1,1,1,5
100164,NORTHEAST,New England,50,VT,Vermont,Cold,6A,R,,,,,2,1,0,0,0,0,0,-2,2,1,1,1,6
100165,WEST,Pacific,15,HI,Hawaii,Hot-Humid,1A,U,,,,,3,0,1,0,0,-2,0,-2,1,1,3,1,2
100166,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,4A,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,7
100167,MIDWEST,East North Central,18,IN,Indiana,Cold,5A,U,,,,,2,1,0,1,0,1,1,0,1,1,3,1,6
100168,MIDWEST,West North Central,38,ND,North Dakota,Very-Cold,7A,C,,,,,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2
100169,SOUTH,East South Central,47,TN,Tennessee,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8
100170,NORTHEAST,New England,50,VT,Vermont,Cold,6A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1
