,DIVISION,YRCONC,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh
222,3,0,10962.554,184.60673915056657,46.11772037793383,175.0570960608267,7.960130057740195
223,5,0,13006.42,19.60281089861776,56.59674222422465,19.60281089861776,17.987615062868954
225,8,2,11148.36,21.607688897021625,510.80320334111923,1.0883077267867203,42.66923916692679
226,2,1,594.5792,99.16704354777295,23.547746036188283,99.16704354777295,0.0
229,5,2,18394.794,89.18405742494316,265.3130010588865,2.518224238771035,30.5368106907313
230,8,0,4738.053,21.380397497664127,52.85799884467312,24.060501194055874,15.226222760910442
231,2,1,19974.145,256.925707007534,205.98403586236105,225.3873792196362,11.3323191981434
232,5,1,3251.605,114.42387816047768,394.81087032403997,39.690707815371184,83.88572141972965
236,3,1,952.25575,157.95608244528847,31.943099319694316,154.92582816118465,0.8048054999930428
238,2,0,5574.18,61.123256805126495,107.64453246934974,60.11231543114862,6.314440348176772
239,9,3,2461.9295,9.82542115767328,70.78106826373379,6.777014544892533,32.64204469218148
241,7,1,743.224,37.635457752978915,103.30667470372323,37.31290078764949,15.375872553900306
242,7,2,1207.739,27.01470699960836,135.3959754549617,45.90755458257124,27.699010661243864
243,5,2,176.5157,369.01081339506914,484.4951468906165,219.33043486783328,54.10290192883692
245,2,2,26477.355,245.7401534021431,167.06476156700697,237.09510096608975,41.89259676376285
246,9,2,22761.235,27.561587351872603,158.04652076216428,23.609991718814907,9.532325245268986
247,1,2,3019.3475,90.56424089741246,147.36197141932158,90.56424089741246,37.90673440933845
248,6,3,4645.15,35.77458008977106,52.44308579916688,8.360234898550102,1.452373856603124
249,8,2,1393.545,51.7485473902888,35.21594207578514,56.342473617285414,9.26040805499643
250,2,2,5295.471,81.35447574087368,123.22322225917205,88.36237274852418,9.951352110133358
251,2,0,9847.718,131.29424070378536,86.39290848905299,114.02913249607677,16.99661081958277
252,3,3,37161.2,541.2338842615956,361.63046403237786,469.68741337117757,91.86048553507423
254,3,2,25083.81,192.60386684179954,165.86798416986892,178.1354855120893,13.207222443480475
255,2,1,37161.2,88.98953926816144,59.24649903662961,90.01681616766952,16.73002032240617
256,5,3,929.03,20.600112420481583,22.195192835538144,10.353999722290991,2.700645652992907
257,9,1,6689.016,132.67733639462068,138.55386203292085,7.225766737588908,13.048178463020573
258,6,3,38090.23,84.41250190253511,104.11370579804847,74.98487485901241,45.88409282729456
259,3,3,6038.695,140.53156041611643,76.30456580436667,140.53156041611643,5.321601475318758
